#;PTS;REB;ASI;ROB;PER;PTSCONTRA;TAP;TAPR;MAT;FP;FPR;+/-;VAL;Jornada;Titular;T2A;T2I;T2F;T3A;T3I;T3F;TLA;TLI;TLF;RD;RO;SEG
16;0;0;0;0;0;0;0;0;0;0;0;0;0;16;False;0;0;0;0;0;0;0;0;0;0;0;0
16;0;0;0;0;0;0;0;0;0;0;0;0;0;18;False;0;0;0;0;0;0;0;0;0;0;0;0
20;0;0;0;0;0;0;0;0;0;0;0;2;0;20;False;0;0;0;0;0;0;0;0;0;0;0;111
21;4;0;0;0;0;0;0;0;1;1;0;1;2;1;False;2;3;1;0;0;0;0;0;0;0;0;357
21;0;0;0;0;0;0;0;0;0;0;0;0;0;2;False;0;0;0;0;0;0;0;0;0;0;0;0
21;0;0;1;0;0;0;0;0;0;0;0;-11;1;3;False;0;0;0;0;0;0;0;0;0;0;0;278
21;0;0;0;0;0;0;0;0;0;0;0;0;0;4;False;0;0;0;0;0;0;0;0;0;0;0;0
21;0;0;0;0;0;0;0;0;0;0;0;0;0;5;False;0;0;0;0;0;0;0;0;0;0;0;0
21;0;0;0;0;0;0;0;0;0;0;0;0;0;6;False;0;0;0;0;0;0;0;0;0;0;0;0
21;2;2;0;1;2;0;0;0;0;1;0;1;2;7;False;1;1;0;0;0;0;0;0;0;1;1;248
21;0;1;1;1;0;0;0;0;0;2;0;1;-1;8;False;0;2;2;0;0;0;0;0;0;0;1;305
21;2;1;0;0;0;0;0;0;0;0;1;-3;4;9;False;0;0;0;0;0;0;2;2;0;1;0;368
21;6;2;0;1;1;0;0;0;0;4;4;0;4;10;False;1;3;2;0;0;0;4;6;2;2;0;778
21;0;0;0;0;0;0;0;0;0;0;0;0;0;11;False;0;0;0;0;0;0;0;0;0;0;0;0
21;0;0;0;0;0;0;0;0;0;0;0;-2;0;12;False;0;0;0;0;0;0;0;0;0;0;0;139
21;4;0;0;0;0;0;0;0;1;2;0;-3;2;13;False;2;2;0;0;0;0;0;0;0;0;0;339
