#;Jugador;TCA;TCI;T3A;T3I;TLA;TLI;RO;RD;REB;ASI;PER;ROB;TAP;TAPR;FP;FPR;PTS;+/-;VAL;Jornada;Adversario;Local;Vuelta;SEG
13;Wilhelm Falk;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;1;0;7,0;-3;9;Recoletas Salud San Pablo Burgos;Visitante;1ª Vuelta;309
13;Wilhelm Falk;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;-2,0;-2;10;Joventut Badalona;Local;1ª Vuelta;158
13;Wilhelm Falk;1;7;0;1;0;0;9;5;14;0;0;0;0;1;3;1;2;23,0;8;11;Valencia Basket;Local;1ª Vuelta;1593
13;Wilhelm Falk;1;4;0;1;0;0;3;1;4;0;0;0;1;1;2;1;2;8,0;3;12;Covirán Granada;Visitante;1ª Vuelta;889
13;Wilhelm Falk;1;1;1;1;0;0;1;0;1;0;0;0;0;0;1;0;3;-6,0;3;13;Real Madrid;Local;1ª Vuelta;516
13;Wilhelm Falk;0;2;0;2;0;0;2;2;4;0;1;0;0;0;1;1;0;2,0;1;14;Dreamland Gran Canaria;Visitante;1ª Vuelta;552
13;Wilhelm Falk;1;2;0;0;1;3;2;0;2;1;0;0;0;0;4;2;3;-2,0;1;15;Surne Bilbao Basket;Visitante;1ª Vuelta;629
13;Wilhelm Falk;1;1;0;0;2;2;2;0;2;2;0;1;0;0;5;2;4;6,0;6;16;Basket Zaragoza;Local;1ª Vuelta;533
13;Wilhelm Falk;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0,0;-1;17;Unicaja Málaga;Visitante;1ª Vuelta;45
13;Wilhelm Falk;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0,0;-1;18;FC Barcelona;Local;2ª Vuelta;45
13;Wilhelm Falk;1;1;0;0;3;4;0;2;2;0;0;1;0;0;4;2;5;17,0;5;20;Recoletas Salud San Pablo Burgos;Local;2ª Vuelta;933
13;Wilhelm Falk;0;4;0;1;0;0;0;2;2;0;0;0;0;1;2;1;0;-11,0;-3;21;Valencia Basket;Visitante;2ª Vuelta;713
15;Emanuel Cate;1;1;0;0;0;0;1;3;4;3;1;0;0;0;2;1;2;22,0;7;1;MoraBanc Andorra;Local;1ª Vuelta;1042
15;Emanuel Cate;1;3;0;0;2;4;3;3;6;0;0;2;0;0;1;2;4;-3,0;9;2;Basquet Girona;Visitante;1ª Vuelta;1097
15;Emanuel Cate;3;4;0;0;0;1;4;1;5;0;0;0;0;0;3;2;6;-4,0;8;3;La Laguna Tenerife;Visitante;1ª Vuelta;876
15;Emanuel Cate;6;9;0;0;0;2;2;4;6;0;2;1;0;1;3;2;12;15,0;11;4;Baskonia;Local;1ª Vuelta;1572
15;Emanuel Cate;1;3;0;0;0;2;3;2;5;1;2;1;2;1;1;2;2;0,0;6;5;FC Barcelona;Visitante;1ª Vuelta;1116
15;Emanuel Cate;6;9;0;0;0;1;6;5;11;1;2;0;0;0;3;2;12;22,0;17;6;BAXI Manresa;Local;1ª Vuelta;1633
15;Emanuel Cate;3;5;0;0;5;6;3;2;5;0;2;1;1;1;2;6;11;-3,0;17;7;Río Breogán;Local;1ª Vuelta;1249
15;Emanuel Cate;2;2;0;0;0;2;2;6;8;3;0;0;1;0;4;1;4;16,0;11;8;Hiopos Lleida;Visitante;1ª Vuelta;1354
15;Emanuel Cate;1;2;0;0;1;2;2;0;2;1;1;0;1;0;3;2;3;-4,0;3;9;Recoletas Salud San Pablo Burgos;Visitante;1ª Vuelta;746
15;Emanuel Cate;5;9;0;0;5;6;5;6;11;1;1;0;3;0;2;4;15;1,0;26;10;Joventut Badalona;Local;1ª Vuelta;1622
15;Emanuel Cate;1;1;0;0;0;0;1;4;5;1;0;1;1;0;2;0;2;4,0;8;11;Valencia Basket;Local;1ª Vuelta;1133
15;Emanuel Cate;5;8;0;0;1;1;3;7;10;0;1;0;0;0;2;3;11;7,0;18;12;Covirán Granada;Visitante;1ª Vuelta;1392
15;Emanuel Cate;4;7;0;0;3;5;5;3;8;0;1;0;2;0;4;3;11;-6,0;14;13;Real Madrid;Local;1ª Vuelta;996
15;Emanuel Cate;2;6;0;0;2;2;3;3;6;0;0;0;0;0;2;2;6;-2,0;8;14;Dreamland Gran Canaria;Visitante;1ª Vuelta;1315
